sentences,class
there are no physical desk to desk deals today.  ,0
"[image] 		    if you do not wish to receive future mailings,  click here  to unsubscribe.	  [image]",0
teamhere are my comments: ,0
teamhere are my comments on futures. very minor comments ,0
teamhere are my comments on the subject topic. ,0
team ,0
charts for today's briefing are attached:,0
  - dailytotal.xls ,0
"phillip, per our discussion see attached; - phillip allen 1031 land tract letter.doc ",0
starting next wednesday you have eb30c2 for your fundies meeting from 3:00 pm to 4:30 pm-ina,0
"phillip,please see attached. -randy",0
"ina, i scheduled a meeting with jean mrha tomorrow at 3:30",0
http://www.hearme.com/vc2/?chnlownr=pallen@enron.com,0
"jeff, what is up with burnet?phillip",0
"greg,happy b-day. email me your phone # and i will call you.keith",0
here is the file i showed you.,0
 - inv alliance mf survey of smarcos.pdf,0
financial  (6)  west desk  (14)mid market (16),0
the file is updated and renamed as gas basis mar 00.  ,0
"steve,please remove bob shiring and liz rivera from rc #768.  thank youphillip allen",0
"socal positionthis is short, but is it good enough?",0
"lucy,here is a rentroll for this week.  i still have questions on #28,#29, and #32.",0
https://www4.rsweb.com/61045/,0
"lucy,the spreadsheet looks fine to me. phillip",0
"jeff,i am in the office today.  any isssues to deal with for the stagecoach?phillip",0
"jeff,jacques craig will draw up a release.  what is the status on the quote from wade?  phillip",0
here is our forecast,0
http://ectpdx-sunone.ect.enron.com/~theizen/wsccnav/,0
testing,0
here is the 1st draft of a wish list for systems.,0
attached is the systems wish list for the gas basis and physical trading,0
"hunter,are you watching alberto?  do you have yahoo messenger or hear me turned on?phillip",0
"attached is the information you have requested.thanks,brad jones ",0
"phillip,pursuant to your request, please see the attached.thanks,renee  ",0
 - inv alliance mf survey of smarcos.pdf,0
"jeanie,please change janie tholt's ranking to a 3.",0
"jerilyn,call or email with additional data requests.phillip713-853-7041",0
"ina,i will be on vacation july 31 - august 3.  please mark the calendar.phillip",0
"bill,have not received the forms yet.  i will confirm receipt.phillip",0
"jeanie,here is a letter about why frank should be promoted. ",0
greg here are my questions regarding the cedar park deal. ,0
"ina,please mark me down for vacation on august 1 through august 3.phillip",0
"ed,how does ellie like the ranch?  is she adjusting ok?phillip allen",0
http://www.nwd-wc.usace.army.mil/report/projdata.htm,0
http://www.forbes.com/global/2000/0612/0312072a.html,0
"jean,please have melissa send down the cd or give me a call and i will come get it.thanks,phillip",0
aplusmath.com    creates flashcards and worksheets for +-*/ ,0
have you heard anything from bank one today?,0
"mike,how did the school board meeting go last night?  phillip",0
"jacques,did you get a chance to look at the release?  drop me a note when you can.phillip",0
"john,do you still want to get together this week?  phillip",0
"greg,what was the official word on new braunfels?phillip",0
" mery,please email me back with a location for tomorrow's meeting.phillip",0
here is our forecast ,0
"jeff,jacques craig will draw up a release.  what is the status on the quote from wade?  phillip",0
the west desk would like 2 analysts.,0
i would look at properties in san antonio or dallas.,0
it works.  thank you,0
i still use this service,0
"jeff,i am in the office today.  any isssues to deal with for the stagecoach?phillip",0
http://www.caiso.com/systemstatus.html,0
financial  (6)  west desk  (14)mid market (16),0
"ina, i scheduled a meeting with jean mrha tomorrow at 3:30",0
resumes of whom?,0
it is ok with me.,0
why are his requests coming to me?,0
"lucy, i got your email with the attachment.  let's work together today to get this donephillip",0
"i tried the new address but i don't have access.  also, what do i need to enter under domain?",0
"stephanieplease grant paul the requested eol rightsthanks,phillip",0
i tried to run the model and it did not work,0
how about 3:30,0
what are your skills?  why do you want to be on a trading desk?,0
"hunter,are you watching alberto?  do you have yahoo messenger or hear me turned on?phillip",0
"lucy, i will call you this afternoon to discuss the things in your email.phillip",0
the merlin ct. address is still good.  i don't know why the mailing would be returned.  ,0
here is the 1st draft of a wish list for systems.,0
11:15 today still works.,0
"paula, i looked over the plan.  it looks fine.phillip",0
how about tuesday at 11:15 in front of the building?,0
testing,0
"ina, please sign me up for this course whenever hunter is signed up. thanks",0
"gary, thanks for the info.",0
anytime after 3 p.m.,0
is your voice healed or are you going to use a real time messenger?,0
no,0
http://ectpdx-sunone.ect.enron.com/~theizen/wsccnav/,0
"felix,network: login pallen pw ke7davisnotes: pw synergimy location is 3210b.phillip",0
"dawn,i received your email with p&l's.  please continue to send them daily.thank you,phillip",0
2000-1969=31,0
here is my dsl form.,0
thanks for your help. my assistant is ina rangel.,0
are we going to inspect tomorrow?,0
"mac,we will be there on the 9th and i will bring the paperwork.phillip",0
"mark, thank you for the offer, but i am not doing the ride this year.   good luck.phillip",0
"george, just a note to check in.  are there any new developments?  phillip",0
mary i was out of the office on friday.i will call you about wade later todayphilip,0
"socal positionthis is short, but is it good enough?",0
re: window unit check with gary about what kind he wants to install,0
"steve,please remove bob shiring and liz rivera from rc #768.  thank youphillip allen",0
the file is updated and renamed as gas basis mar 00.  ,0
it is ok to let the deposit rollover on #13 if there is no interruption in rent.,0
"kim, doublecheck with julie g. , but i think it ok to pay jan. demand charges.",0
is this still an issue?,0
here is the file i showed you.,0
vishal resigned today,0
"mary received an email from you on 1/7, but there was no message.  please try again.phillip",0
received the file.  it worked.  good job.,0
what did mary write?  stage misses you?  i sent 2 emails.maybe mary is stalking gary ,0
here is our forecast,0
"jeff,jacques craig will draw up a release.  what is the status on the quote from wade?  phillip",0
the west desk would like 2 analysts.,0
i would look at properties in san antonio or dallas.,0
it works.  thank you,0
i still use this service,0
"bob, activate plan b.  no money from john.   wish i had better news.phillip",0
"jeff,i am in the office today.  any isssues to deal with for the stagecoach?phillip",0
i will email you with the insurance info tomorrow.  ,0
"lucy,the spreadsheet looks fine to me. phillip",0
thanks for your help.,0
"jed,thanks for the response.  phillip allen",0
"steve,thank you for the update.  the need is still great for this disk space.  phillip",0
my location is eb3210c,0
https://www4.rsweb.com/61045/,0
no problem,0
keith holst sent you an email with the details.,0
i just refaxed. please confirm receipt,0
i faxed you the signed amendment.,0
tomorrow is fine.  talk to you then.phillip,0
"that would we very helpful.  thanks,phillip",0
yes please,0
"george,please send the latest cost estimates when you get a chance this morning.phillip",0
"andy, please assign a user name to randy gay.thank you,phillip",0
i would like to have a copy of the appraisal.  see you monday at 2.phillip,0
no.  i am on msn messenger.,0
thanks for the website.  ,0
8500?????  that's twice as valuable as your car!  can't you get a used one for $3000?,0
nice.  how much?are you trying to keep the economy going?,0
"richard, are you available at 5:30 et today?phillip",0
"dexter,you should receive a guest id shortly.phillip",0
"lucy,here is a rentroll for this week.  i still have questions on #28,#29, and #32.",0
message board,0
"andrea,please resend the first three resumes.phillip",0
"larry,do you want the loan and wire amount to be for exactly $1.1 million.phillip",0
thanks for representing matt.phillip,0
test successful.  way to go!!!,0
i can't open a winmail.dat file.  can you send in a different format,0
monique sanchezjay reitmeyerrandy gaymatt lenhart,0
fax number 713-646-2391,0
yes. trading reports to whalley.  he is lavorato's boss.,0
yes you can use this chart.  does it make sense?  ,0
"paula, 35 million is finephillip",0
raincheck?,0
no can do.  are you in the zone?,0
nymex expiration is during this time frame.  please reschedule.,0
"greg, how about either next tuesday or thursday?phillip",0
any morning between 10 and 11:30,0
"greg,happy b-day. email me your phone # and i will call you.keith",0
"jeff, what is up with burnet?phillip",0
http://www.hearme.com/vc2/?chnlownr=pallen@enron.com,0
anything new in the world of marketing?,0
how was the concert?,0
why does everybody in this company know my p&l?????,0
"john:please call lavorato's secretary, kim, and schedule a time to talk with john asap.thanks,john",0
http://ecthou-webcl1.nt.ect.enron.com/research/weather/weathermain.htm,0
jeff:anything ever happen with pedron?john,0
home.enron.comthis is home.enron.com.,0
coo's:do either of you have an objection to using cantor as an otc broker?,0
jeff:man is looking for money again to hold them over for yearend.  who do i need to talk to?john,0
"if you have a minute sometime today, please stop by.john",0
just checking up on the status of the margin project....,0
frank:how do sep basis positions roll off?john,0
ina:did you find out the info on the ena management committee>john,0
"had carlos franco just shot a 49 yesterday instead of a 70, you would have won.",0
"if j. franco wins, you win $2425if he loses, you lose $75",0
z/f trading 4,0
andy:just checking on the options.  any idea on rollout date?john,0
congrats on your new job..,0
hey:do you have any extras for tonight's game?johnps.   how's you bowl,0
z/f 10/12,0
hey:do you have jp's email address?john,0
fyi jan red jan 32/33 with sep @392,0
fyi:jan red jan trading 28.5 with sep @ 381,0
adams 30  631,0
adams bot 1/2 6365,0
"hey,can greg fit me in for about 30 minutes tomorrow afternoon?--- your secret admirer",0
world cup 2006  --  germany    boo!,0
dinner tonite....birthday boy???,0
euro 2004 in portugal,0
tickets requisitioned for england/germany.  $1500!!!!!!,0
"hey, i just got your email.call anytime after 4:00.obviously, i don't read my email very often",0
nope...your loss though,0
hey:any good set of 4 available for sunday's game,0
sounds good,0
club seats extra wide extra leg room  extra waitresses  ,0
sec 222  row 2,0
7:00 game  can you let me know tomorrow??,0
lyle lovett national anthem  nolan ryan first pitchdwight gooden first real pitch,0
i just had the whole it staff up here.i just got two good tickets to thursday's astros/yankees game,0
hey:when are you back in town??,0
hey :just wanted to see if you're doing anything tonight...any interest in getting dinner?john,0
pleas approve tricia's request to become an authorized eol trader,0
ok,0
maine impossible to get to ..    next idea?,0
maine impossible to get to...next option?,0
best guess p&l tonight is +7,0
have you taken any finance courses yet? what's good?,0
kim:i will not be at the may 18 management mtg as i will be in ny on business.,0
you in town this weekend?,0
hot like wasabi when i bust rhymesbig like leann rimesbecause i'm all about value,0
i couldnt do it.  it took 13 minutes for my alarm to wake me up.,0
"i almost forget about your debt, but then your bmw 315ia reminded me of it.",0
wanna get sauced after work?,0
this is my idea of vacation...,0
stranger:any interest in getting a drink or dinner tuesday?  havent seen you in forever.,0
"stephanie:please set up mike maggi for trding on intercontinental exch.thanks,john",0
pookie:check this out:www.sailmainecoast.com/index.html,0
212 836 5030,0
kimberly:any interest in accompanying me to maggi's bd party sat nite?,0
thanks a lot,0
awfully close......,0
do you mind if i go out with the boys from work tonight?,0
jeanie:i really need the docs on both phantom stock and options.   pleasepleasepleasejohn,0
http://messages.yahoo.com/bbs?.mm=fn&action=m&board=7081781&tid=ene&sid=7081781&mid=11711,0
http://gasmsgboard.corp.enron.com/msgframe.asp,0
fuck you,0
hey:just wondering if you're still up for sailing lessons and if you've found out anything???,0
took the wrong checkbook to work friday.  will call your courier on monday hopefully.john,0
what's your view of crude from here over next 1-4 weeks?,0
got tix for tonight,0
assuming we're driving the car to dallas tomorrow after work...,0
liz:are the diamonds still available for tonight's game?,0
txu buy 200 u @5255,0
are you in for the game?,0
"i may have some u2 tix for tonight,   wanna go?",0
http://gasfundy.corp.enron.com/gas/framework/default.asp,0
mike:which one of the hedge funds closes today?,0
hey podner:where are you buying me dinner tonight?,0
stinson:can we do the meeting today at 4:00?,0
you'll be happy to know i get my car back today,0
dinner this week?  i'm free mon-wed,0
dave:can you do the same printout today of children for product #33076thanksjohn,0
what are you doing tonight?,0
what are you doing tonight,0
how about benjys?,0
http://sokolin.com/1998's.htm1998 monbousquet,0
"yes...please change griffith to trading.thanks,john",0
dinner or drinks tonight?,0
are you free at 3:00 today to go over the aga model?,0
freak show. cash started -7 then to -15 then -7 ended -15.,0
my polling location is the knights of columbus hall. what exactly is a knight of columbus?,0
just a reminder about drinks monday night..,0
are you free for drinks either monday or wednesday?,0
we will open eol 4-7 on monday for everyone's trading pleasure.,0
"yesterday, aquilla sold march at 5.77 and 5.76 for hehub.  please change it to nymex",0
hey hon:had a great time last night.  you're one ok chick.john,0
cute girlfriends....   i'm in,0
split connect,0
just sold 500 q/u at .05      that was the pop i'm looking for,0
lumber,0
i got 2 for tomorrow.,0
83,0
hey:any interest in king biscuit after work??,0
speed on eolmessage for monday how to move to algorithmsdave or tom moran,0
http://www.baltimoresun.com/content/cover/story?section=cover&pagename=story&storyid=1150540202173,0
greg:what is the (correct) formula you devised for profitability on last trade is mid?,0
"if we were open today, where would you open it?",0
torrey:can you also approve mike maggi to trade crude as well.  thanks for your help.john,0
torrey:please set me up to trade crude.john,0
hey:any interest in seeing cirque du soleil saturday?,0
hey:what was the first cd we listened to on wednesday at my place?john,0
if only i didn't have a position today i'd be ok,0
rajib:the following are my bids for the asian option:gq 1 : .41gq 2 : .63gq 3 : .57,0
http://www.baltimoresun.com/content/cover/story?section=cover&pagename=story&storyid=1150540202173,0
greg:what is the (correct) formula you devised for profitability on last trade is mid?,0
"if we were open today, where would you open it?",0
torrey:can you also approve mike maggi to trade crude as well.  thanks for your help.john,0
torrey:please set me up to trade crude.john,0
hey:any interest in seeing cirque du soleil saturday?,0
"weather moderating, enuf switching to offset hdds, cash showing same, i wudnttouch it ...yet",0
fyi  on 12/11/00 intercontinental traded 3.3bcf of physical gas.,0
why does everybody in this company know my p&l?????,0
adams 30  631,0
adams bot 1/2 6365,0
best guess p&l tonight is +7,0
"i almost forget about your debt, but then your bmw 315ia reminded me of it.",0
"stephanie:please set up mike maggi for trding on intercontinental exch.thanks,john",0
hey podner:where are you buying me dinner tonight?,0
stinson:can we do the meeting today at 4:00?,0
dave:can you do the same printout today of children for product #33076thanksjohn,0
my polling location is the knights of columbus hall. what exactly is a knight of columbus?,0
lumber,0
hey:what was the first cd we listened to on wednesday at my place?john,0
if only i didn't have a position today i'd be ok,0
rajib:the following are my bids for the asian option:gq 1 : .41gq 2 : .63gq 3 : .57,0
anything new in the world of marketing?,0
how was the concert?,0
"john:please call lavorato's secretary, kim, and schedule a time to talk with john asap.thanks,john",0
http://ecthou-webcl1.nt.ect.enron.com/research/weather/weathermain.htm,0
jeff:anything ever happen with pedron?john,0
home.enron.comthis is home.enron.com.,0
coo's:do either of you have an objection to using cantor as an otc broker?,0
jeff:man is looking for money again to hold them over for yearend.  who do i need to talk to?john,0
"if you have a minute sometime today, please stop by.john",0
just checking up on the status of the margin project....,0
frank:how do sep basis positions roll off?john,0
ina:did you find out the info on the ena management committee>john,0
"had carlos franco just shot a 49 yesterday instead of a 70, you would have won.",0
"if j. franco wins, you win $2425if he loses, you lose $75",0
z/f trading 4,0
andy:just checking on the options.  any idea on rollout date?john,0
congrats on your new job..,0
hey:do you have any extras for tonight's game?johnps.   how's you bowl,0
z/f 10/12,0
hey:do you have jp's email address?john,0
fyi jan red jan 32/33 with sep @392,0
fyi:jan red jan trading 28.5 with sep @ 381,0
"hey,can greg fit me in for about 30 minutes tomorrow afternoon?--- your secret admirer",0
world cup 2006  --  germany    boo!,0
dinner tonite....birthday boy???,0
euro 2004 in portugal,0
tickets requisitioned for england/germany.  $1500!!!!!!,0
"hey, i just got your email.call anytime after 4:00.obviously, i don't read my email very often",0
nope...your loss though,0
hey:any good set of 4 available for sunday's game,0
sounds good,0
club seats extra wide extra leg room  extra waitresses  ,0
sec 222  row 2,0
7:00 game  can you let me know tomorrow??,0
lyle lovett national anthem  nolan ryan first pitchdwight gooden first real pitch,0
i just had the whole it staff up here.i just got two good tickets to thursday's astros/yankees game,0
hey:when are you back in town??,0
hey :just wanted to see if you're doing anything tonight...any interest in getting dinner?john,0
pleas approve tricia's request to become an authorized eol trader,0
ok,0
maine impossible to get to ..    next idea?,0
maine impossible to get to...next option?,0
latest natural report - ng051301.doc,0
have you taken any finance courses yet? what's good?,0
kim:i will not be at the may 18 management mtg as i will be in ny on business.,0
you in town this weekend?,0
hot like wasabi when i bust rhymesbig like leann rimesbecause i'm all about value,0
i couldnt do it.  it took 13 minutes for my alarm to wake me up.,0
wanna get sauced after work?,0
this is my idea of vacation...,0
stranger:any interest in getting a drink or dinner tuesday?  havent seen you in forever.,0
pookie:check this out:www.sailmainecoast.com/index.html,0
212 836 5030,0
kimberly:any interest in accompanying me to maggi's bd party sat nite?,0
thanks a lot,0
awfully close......,0
do you mind if i go out with the boys from work tonight?,0
jeanie:i really need the docs on both phantom stock and options.   pleasepleasepleasejohn,0
http://messages.yahoo.com/bbs?.mm=fn&action=m&board=7081781&tid=ene&sid=7081781&mid=11711,0
http://gasmsgboard.corp.enron.com/msgframe.asp,0
fuck you,0
hey:just wondering if you're still up for sailing lessons and if you've found out anything???,0
took the wrong checkbook to work friday.  will call your courier on monday hopefully.john,0
what's your view of crude from here over next 1-4 weeks?,0
got tix for tonight,0
assuming we're driving the car to dallas tomorrow after work...,0
liz:are the diamonds still available for tonight's game?,0
txu buy 200 u @5255,0
are you in for the game?,0
"i may have some u2 tix for tonight,   wanna go?",0
http://gasfundy.corp.enron.com/gas/framework/default.asp,0
mike:which one of the hedge funds closes today?,0
you'll be happy to know i get my car back today,0
dinner this week?  i'm free mon-wed,0
what are you doing tonight?,0
what are you doing tonight,0
how about benjys?,0
http://sokolin.com/1998's.htm1998 monbousquet,0
"yes...please change griffith to trading.thanks,john",0
dinner or drinks tonight?,0
are you free at 3:00 today to go over the aga model?,0
freak show. cash started -7 then to -15 then -7 ended -15.,0
just a reminder about drinks monday night..,0
fyi:,0
are you free for drinks either monday or wednesday?,0
we will open eol 4-7 on monday for everyone's trading pleasure.,0
"yesterday, aquilla sold march at 5.77 and 5.76 for hehub.  please change it to nymex",0
hey hon:had a great time last night.  you're one ok chick.john,0
cute girlfriends....   i'm in,0
split connect,0
just sold 500 q/u at .05      that was the pop i'm looking for,0
i got 2 for tomorrow.,0
83,0
hey:any interest in king biscuit after work??,0
speed on eolmessage for monday how to move to algorithmsdave or tom moran,0
fyi - energy092301.doc ,0
stl -14  200stl det over 49.5 200,0
        http://www.snopes2.com/rumors/rumors.htm,0
"[image]	[image]	",0
current 185200 over 37 dallas/wash,0
      http://www.5starweb.co.uk/fun/bush.htm ,0
"john,please let me know what time to come up this afternoon.  thanks-jeb x-5-3609",0
that would be great.,0
denver -3ariz +2.5minn +3.5phili +9 under 41.5 tease all 150  ,0
early games 150 indi -10.5carolina -3.5chicago +1tb -4.5detroit/tenn under 39,0
"i just bought ene at 20.20. i think its called ""opportunity"".",0
greg shuttlesworth212 686 6808,0
any thoughts?,0
adrianne engler,0
sorry i completely forgot it was wednesday,0
" 		         move request number 9770 has been submitted to the move team for processing.	    	    ",0
"john,do you want to take your refrigerator to the new building for your office?ina",0
you (and matt) going to dallas this week?,0
"attached please find this weeks aga summary.thanks,bob mckinney - 11-21-01 aga.doc ",0
"boone said to tell you ""happy thanksgiving""",0
  - energy111901.doc ,0
ya hearing anything on thisgeorge down--crude floor evacuated and brought back,0
15 miles of spinning - monday 7pm - memorial parkhuff's got the new fancy machine - check it out!,0
"did you go this morning?  if not, do you want to go after work?",0
"[image]	quote.com	",0
unleaded     http://www.carrfut.com/research/energy1/unlded43.pdf,0
"attached please find the following documents:	 	 	 thank you,lydia delgadox3-9338",0
hey :just wanted to see if you're doing anything tonight...any interest in getting dinner?john,0
"if you have a minute sometime today, please stop by.john",0
jeff:man is looking for money again to hold them over for yearend.  who do i need to talk to?john,0
coo's:do either of you have an objection to using cantor as an otc broker?,0
home.enron.comthis is home.enron.com.,0
hey:any good set of 4 available for sunday's game,0
jeff:anything ever happen with pedron?john,0
